data,preco_compra
2019-03-13 04:00:00,1.319620
2019-03-13 05:00:00,1.320330
2019-03-13 06:00:00,1.324850
2019-03-13 07:00:00,1.323700
2019-03-13 08:00:00,1.320950
2019-03-13 09:00:00,1.322920
2019-03-13 10:00:00,1.323410
2019-03-13 11:00:00,1.325360
2019-03-13 12:00:00,1.326250
2019-03-13 13:00:00,1.326090
2019-03-13 14:00:00,1.328780
2019-03-13 15:00:00,1.327670
2019-03-13 16:00:00,1.326410
2019-03-13 17:00:00,1.325970
2019-03-13 18:00:00,1.329520
2019-03-13 19:00:00,1.338600
2019-03-13 20:00:00,1.335520
2019-03-13 21:00:00,1.334720
2019-03-13 22:00:00,1.332950
2019-03-13 23:00:00,1.332460
2019-03-14 00:00:00,1.330620
2019-03-14 01:00:00,1.330950
2019-03-14 02:00:00,1.331200
2019-03-14 03:00:00,1.329960
2019-03-14 04:56:23,1.330860
2019-03-14 04:59:42,1.331080
2019-03-14 04:59:59,1.331070
2019-03-14 05:01:43,1.331210
2019-03-14 05:03:44,1.331120
2019-03-14 05:08:25,1.330980
2019-03-14 05:17:59,1.331320
2019-03-14 05:20:07,1.331080
2019-03-14 05:20:52,1.331040
2019-03-14 05:21:25,1.331030
2019-03-14 05:55:58,1.333310
2019-03-14 05:57:41,1.333100
2019-03-14 05:57:50,1.333100
2019-03-14 06:00:13,1.333110
2019-03-14 06:00:17,1.333110
2019-03-14 06:00:22,1.333150
2019-03-14 06:04:26,1.333240
2019-03-14 06:05:53,1.333120
2019-03-14 06:09:49,1.333030
2019-03-14 06:10:26,1.332850
2019-03-14 06:12:30,1.332990
2019-03-14 06:12:42,1.332980
2019-03-14 06:15:06,1.332590
2019-03-14 06:18:40,1.332050
2019-03-14 06:18:47,1.332060
2019-03-14 06:20:27,1.332060
2019-03-14 06:30:55,1.334200
2019-03-14 06:31:48,1.334400
2019-03-14 06:34:24,1.334250
2019-03-14 06:34:40,1.334190
2019-03-14 06:37:38,1.334080
2019-03-14 06:40:38,1.333740
2019-03-14 06:40:44,1.333700
2019-03-14 06:40:50,1.333710
2019-03-14 06:40:57,1.333770
2019-03-14 06:41:08,1.333820
2019-03-14 06:41:29,1.333780
2019-03-14 06:41:43,1.333710
2019-03-14 07:29:15,1.336670
2019-03-14 07:33:56,1.336220
2019-03-14 07:36:11,1.337070
2019-03-14 07:38:29,1.337410
2019-03-14 07:52:45,1.336890
2019-03-14 08:07:27,1.334060
2019-03-14 08:07:51,1.334030
2019-03-14 08:08:08,1.334040
2019-03-14 08:35:18,1.333440
2019-03-14 08:37:18,1.333440
2019-03-14 08:55:08,1.332190
2019-03-14 09:09:59,1.330770
2019-03-14 09:10:34,1.331050
2019-03-14 09:20:12,1.330030
2019-03-14 09:35:38,1.328060
2019-03-14 09:36:10,1.328070
2019-03-14 09:48:55,1.328680
2019-03-14 10:13:27,1.330260
2019-03-14 10:15:06,1.329770
2019-03-14 10:15:14,1.330070
2019-03-14 10:15:20,1.330270
2019-03-14 10:15:47,1.330180
2019-03-14 10:33:00,1.328060
2019-03-14 10:49:07,1.330570
2019-03-14 10:54:49,1.330080
2019-03-14 11:00:08,1.329550
2019-03-14 11:18:04,1.329900
2019-03-14 11:20:29,1.330890
2019-03-14 11:20:38,1.330810
2019-03-14 11:32:52,1.332070
2019-03-14 11:33:48,1.332340
2019-03-14 11:34:15,1.332170
2019-03-14 11:36:17,1.332290
2019-03-14 12:04:30,1.331870
2019-03-14 12:04:40,1.332040
2019-03-14 12:05:51,1.333110
2019-03-14 12:39:26,1.331340
2019-03-14 12:40:03,1.331200
2019-03-14 12:41:19,1.329840
2019-03-14 13:00:43,1.330480
2019-03-14 13:03:22,1.330330
2019-03-14 14:04:31,1.330970
