data,preco_compra
2019-03-13 04:00:00,1.007440
2019-03-13 05:00:00,1.007570
2019-03-13 06:00:00,1.008080
2019-03-13 07:00:00,1.006550
2019-03-13 08:00:00,1.005830
2019-03-13 09:00:00,1.005950
2019-03-13 10:00:00,1.005890
2019-03-13 11:00:00,1.006430
2019-03-13 12:00:00,1.005830
2019-03-13 13:00:00,1.006030
2019-03-13 14:00:00,1.004500
2019-03-13 15:00:00,1.004840
2019-03-13 16:00:00,1.004630
2019-03-13 17:00:00,1.003090
2019-03-13 18:00:00,1.002870
2019-03-13 19:00:00,1.003540
2019-03-13 20:00:00,1.003470
2019-03-13 21:00:00,1.002920
2019-03-13 22:00:00,1.003300
2019-03-13 23:00:00,1.003130
2019-03-14 00:00:00,1.003690
2019-03-14 01:00:00,1.003630
2019-03-14 02:00:00,1.004180
2019-03-14 03:00:00,1.004430
2019-03-14 04:57:12,1.004470
2019-03-14 04:58:13,1.004460
2019-03-14 04:58:44,1.004470
2019-03-14 04:59:45,1.004490
2019-03-14 05:01:40,1.004580
2019-03-14 05:02:48,1.004500
2019-03-14 05:02:57,1.004500
2019-03-14 05:03:31,1.004500
2019-03-14 05:03:48,1.004510
2019-03-14 05:03:57,1.004540
2019-03-14 05:09:58,1.004690
2019-03-14 05:21:02,1.004760
2019-03-14 05:53:24,1.004800
2019-03-14 05:53:38,1.004810
2019-03-14 06:00:51,1.004790
2019-03-14 06:03:32,1.004970
2019-03-14 06:07:33,1.004690
2019-03-14 06:12:26,1.004730
2019-03-14 06:13:13,1.004700
2019-03-14 06:18:26,1.004500
2019-03-14 06:19:58,1.004390
2019-03-14 06:30:42,1.004180
2019-03-14 06:30:49,1.004190
2019-03-14 06:33:24,1.004140
2019-03-14 06:36:21,1.004190
2019-03-14 06:39:21,1.004070
2019-03-14 06:41:20,1.004250
2019-03-14 07:35:08,1.003880
2019-03-14 07:35:39,1.003940
2019-03-14 08:07:36,1.004040
2019-03-14 08:07:57,1.004080
2019-03-14 08:20:55,1.004180
2019-03-14 08:37:13,1.004280
2019-03-14 08:38:18,1.004280
2019-03-14 08:38:51,1.004350
2019-03-14 08:52:14,1.004680
2019-03-14 08:52:42,1.004690
2019-03-14 08:52:48,1.004680
2019-03-14 08:55:54,1.004400
2019-03-14 09:20:00,1.004770
2019-03-14 09:20:26,1.004770
2019-03-14 09:21:03,1.004700
2019-03-14 09:35:52,1.004350
2019-03-14 09:48:43,1.004590
2019-03-14 10:13:43,1.004170
2019-03-14 10:15:28,1.004090
2019-03-14 10:33:35,1.005090
2019-03-14 10:33:41,1.005010
2019-03-14 10:48:33,1.005020
2019-03-14 11:17:29,1.004700
2019-03-14 11:21:17,1.004500
2019-03-14 11:34:22,1.004280
2019-03-14 11:35:28,1.004310
2019-03-14 11:35:34,1.004290
2019-03-14 11:36:46,1.004400
2019-03-14 11:56:29,1.004620
2019-03-14 12:05:18,1.004650
2019-03-14 12:05:59,1.004650
2019-03-14 12:33:56,1.004590
2019-03-14 12:39:06,1.004800
2019-03-14 13:00:31,1.004780
2019-03-14 13:05:31,1.004610
2019-03-14 13:09:47,1.004680
2019-03-14 13:28:18,1.004610
2019-03-14 14:03:19,1.004470
2019-03-14 14:04:23,1.004210
